Normalized_Author_Name,Cited_by,Publications,Journals,Funded_publications,Not_funded_publications,Author(s)_ID,Publisher_Count,Folio,First_Year,Seniority,Seniority_Group,Cited_Above_Q3,Publications_Above_Q3,Funding_Ratio,Cluster,TSNE1,TSNE2
"mokay ramirez, karen",37,4,2,3,1,57218550181,2,UCOL-1142,2020,5,5,False,False,0.75,0.0,-4.389536,16.276842
"molina gallardo, rogelio",0,1,1,1,0,59197689900,1,UCOL-1146,2024,1,0,False,False,1.0,0.0,-55.50161,26.67839
"molina osorio, roque",0,1,1,1,0,59197690000,1,UCOL-1148,2024,1,0,False,False,1.0,0.0,-55.50161,26.67839
"molina pelayo, francisco",2,2,2,2,0,58691344800,2,UCOL-1149,2024,1,0,False,False,1.0,0.0,-51.449196,24.22675
"molina, wilfrido martinez",20,3,2,1,2,37047599700,2,UCOL-1151,2020,5,5,False,False,0.3333333333333333,0.0,-8.754256,-6.385451
"mondragon olan, max",4,1,1,1,0,57874698500,1,UCOL-1152,2022,3,0,False,False,1.0,0.0,-19.9093,24.169308
"monroy rodriguez, jesus",4,1,1,1,0,57470525100,1,UCOL-1153,2022,3,0,False,False,1.0,0.0,-19.9093,24.169308
"monroy rojas,",18,1,1,1,0,57211388262,1,UCOL-1154,2019,6,5,False,False,1.0,0.0,2.4793193,48.151436
"montalvo, eliud alfredo garcia",4,2,2,1,1,56011812800; 8559327800,1,UCOL-1156,2009,16,15,False,False,0.5,0.0,9.934807,-1.1734886
"montano, luis manuel",7,1,1,1,0,56218059000,1,UCOL-1157,2020,5,5,False,False,1.0,0.0,-7.8194294,48.86561
"montes delgado, roberto",17,5,5,2,3,57074743300,5,UCOL-1161,2014,11,10,False,False,0.4,0.0,3.3139787,-8.283683
"montesinos lopez, jose cricelio",150,16,6,11,5,57194209616,7,UCOL-1164,2017,8,5,True,True,0.6875,0.0,13.479554,14.883151
"montesinos lopez, oswal antonio",3,2,1,1,1,55933423700,1,UCOL-1166,2013,12,10,False,False,0.5,0.0,4.051562,0.6455063
"montoya perez, rocio",117,10,7,8,2,56013541800,8,UCOL-1170,2009,16,15,True,True,0.8,0.0,11.809654,7.08251
"mora sero,",137,4,4,4,0,6602706852,2,UCOL-1173,2016,9,5,True,False,1.0,0.0,14.707946,33.843945
"morales guerrero, blanca",29,3,3,2,1,57192818944,3,UCOL-1175,2017,8,5,False,False,0.6666666666666666,0.0,0.01424446,13.724673
"morales luckie, raul",138,5,5,3,2,56000867000,5,UCOL-1176,2017,8,5,True,False,0.6,0.0,0.3117552,10.912692
"morales morales, david",21,4,4,2,2,6701333191,3,UCOL-1178,2011,14,10,False,False,0.5,0.0,7.4619994,-0.6809603
"morales, tenoch",4,1,1,1,0,57222251583,1,UCOL-1179,2023,2,0,False,False,1.0,0.0,-37.0962,14.4352455
"moreno barbosa,",66,3,3,2,1,57221812613,3,UCOL-1181,2020,5,5,True,False,0.6666666666666666,0.0,-4.1998973,15.18301
"moreno salazar, rodrigo",23,1,1,1,0,57211914872,1,UCOL-1184,2020,5,5,False,False,1.0,0.0,-6.3286247,49.059868
"moreno, ..",7,1,1,1,0,56888854700,1,UCOL-1185,2020,5,5,False,False,1.0,0.0,-7.307807,50.011223
"moreno, carlos",49,1,1,1,0,57205310596,1,UCOL-1186,2019,6,5,False,False,1.0,0.0,0.9702544,45.86036
"moreno, pedro julian flores",21,9,5,1,8,57195218739,5,UCOL-1187,2017,8,5,False,True,0.1111111111111111,0.0,-0.092406586,-15.792083
"mosqueda gonzalez, brandon",55,10,6,9,1,57222319543,6,UCOL-1192,2021,4,0,False,True,0.9,0.0,5.945713,19.062962
"munoz urias, alejandro",1,1,1,1,0,23994381700,1,UCOL-1200,2022,3,0,False,False,1.0,0.0,-18.485065,22.572414
"munoz, rosalba thomas",0,7,3,0,7,57210818691,2,UCOL-1201,2018,7,5,False,True,0.0,0.0,-7.090057,-28.346367
"nandini,",11,2,2,1,1,7004354539,2,UCOL-1206,2015,10,10,False,False,0.5,0.0,0.56117445,1.7628359
"nava garcia, arely",8,1,1,1,0,57929704500,1,UCOL-1209,2022,3,0,False,False,1.0,0.0,-22.462801,24.462072
"navarro alvarez, ernesto",13,1,1,1,0,35322641600,1,UCOL-1213,2024,1,0,False,False,1.0,0.0,-54.25438,29.541887
"nichols, colin",17,1,1,1,0,35477469700,1,UCOL-1224,2012,13,10,False,False,1.0,0.0,22.834257,31.099686
"nieto hipolito, juan ivan",56,8,6,5,3,57206505615,6,UCOL-1225,2015,10,10,False,True,0.625,0.0,5.4560566,10.43591
"nieto marin, .",83,4,4,3,1,57224243328,3,UCOL-1226,2020,5,5,True,False,0.75,0.0,-4.231914,16.396767
"nunes, sandro filipe",1,1,1,1,0,57192072522,1,UCOL-1228,2023,2,0,False,False,1.0,0.0,-36.21524,14.732831
"nunez vizcaino, rubi",11,1,1,1,0,57223095353,1,UCOL-1229,2021,4,0,False,False,1.0,0.0,-18.002762,43.926952
"obledo benicio, fernando",49,3,3,3,0,57195286388,1,UCOL-1230,2017,8,5,False,False,1.0,0.0,13.648815,36.85912
"ocampo torres, francisco javier",6,2,2,2,0,6602133196,2,UCOL-1232,2021,4,0,False,False,1.0,0.0,-16.468494,40.668594
"ocano higuera, victor manuel",0,1,1,1,0,8250646000,1,UCOL-1233,2024,1,0,False,False,1.0,0.0,-55.50161,26.67839
"oceguera contreras, eden",30,3,3,2,1,55974731100,3,UCOL-1234,2020,5,5,False,False,0.6666666666666666,0.0,-3.8866913,14.794152
"ochoa castro, maria regina",11,5,5,1,4,57285907300,5,UCOL-1235,2021,4,0,False,False,0.2,0.0,-9.254485,-8.179699
"ochoa cortes, fernando",92,3,3,3,0,17346867700,3,UCOL-1236,2016,9,5,True,False,1.0,0.0,14.74499,34.06459
"ochoa diaz lopez, hector",14,6,6,4,2,6506163200,5,UCOL-1237,2020,5,5,False,True,0.6666666666666666,0.0,-4.7359476,13.6447315
"ochoa leyva, adrian",2,1,1,1,0,56013725100,1,UCOL-1239,2021,4,0,False,False,1.0,0.0,-19.968061,43.299183
"ojeda, jorge",25,10,9,3,7,36634496100,8,UCOL-1243,2017,8,5,False,True,0.3,0.0,-1.315859,-6.637219
"olamendi portugal, timoteo",79,7,5,6,1,55993739000,4,UCOL-1245,2016,9,5,True,True,0.8571428571428571,0.0,8.547341,15.1730995
"olivas aguirre, miguel",279,14,11,11,3,57205658867,9,UCOL-1248,2019,6,5,True,True,0.7857142857142857,0.0,15.467984,14.816492
"olmos liceaga, daniel",1,1,1,1,0,56668723000,1,UCOL-1252,2023,2,0,False,False,1.0,0.0,-36.21524,14.732831
"olvera valdez, marycruz",0,1,1,1,0,57958874200,1,UCOL-1253,2025,0,0,False,False,1.0,0.0,-57.81163,30.030508
"olvera, . de la",101,5,2,2,3,55664765600,3,UCOL-1254,2014,11,10,True,False,0.4,0.0,4.323733,-7.1637187
"onofre diaz, mario",4,2,2,2,0,57868065600,2,UCOL-1256,2022,3,0,False,False,1.0,0.0,-18.261847,29.451504
"organillo, angel andres ramos",6,1,1,1,0,55351304100,1,UCOL-1258,2012,13,10,False,False,1.0,0.0,23.135603,31.407627
"ornelas luna, ricardo",2,1,1,1,0,57199259354,1,UCOL-1259,2017,8,5,False,False,1.0,0.0,17.849724,39.850845
"orozco gutierrez,",6,1,1,1,0,57221378888,1,UCOL-1262,2022,3,0,False,False,1.0,0.0,-21.195621,24.671492
"orozco rocha, karina",17,6,5,4,2,57196121330,5,UCOL-1263,2018,7,5,False,True,0.6666666666666666,0.0,-1.4719106,12.810527
"ortega dominguez, bibiana",1,1,1,1,0,57194851700,1,UCOL-1269,2024,1,0,False,False,1.0,0.0,-52.73945,27.674564
"ortega ramirez, ana daniela",18,11,9,6,5,57226565755,6,UCOL-1274,2021,4,0,False,True,0.5454545454545454,0.0,-5.042594,9.464906
"ortiz valladares, minerva",10,4,4,2,2,57503508100,3,UCOL-1282,2021,4,0,False,False,0.5,0.0,-11.421859,0.30423957
"osorio perez, nestor",4,1,1,1,0,58039013300,1,UCOL-1285,2022,3,0,False,False,1.0,0.0,-19.90926,24.169367
"ostos, rodolfo",217,8,8,2,6,55357391200,7,UCOL-1286,2018,7,5,True,True,0.25,0.0,-4.2595196,-4.426868
"osuna calleros, zyanya",16,1,1,1,0,57196470128,1,UCOL-1287,2017,8,5,False,False,1.0,0.0,16.654152,39.636578
"osuna flores, israel",24,2,2,2,0,8065827400,2,UCOL-1289,2014,11,10,False,False,1.0,0.0,21.436613,33.703262
"pacheco rojas, david",7,3,2,3,0,57201553392,2,UCOL-1291,2018,7,5,False,False,1.0,0.0,9.985585,41.94512
"palma, paulina",0,2,2,2,0,56127016500,2,UCOL-1295,2024,1,0,False,False,1.0,0.0,-51.48021,24.204382
"paramo garcia, ulises",15,4,4,1,3,56002712100,4,UCOL-1297,2014,11,10,False,False,0.25,0.0,1.7988433,-12.073327
"paredes, carlos mario",33,5,5,2,3,57226749803,4,UCOL-1299,2021,4,0,False,False,0.4,0.0,-9.437087,-3.7654216
