Normalized_Author_Name,Cited_by,Publications,Journals,Funded_publications,Not_funded_publications,Publisher_Count,Folio,First_Year,Seniority,Seniority_Group,Cited_Above_Q3,Publications_Above_Q3,Funding_Ratio,Cluster,TSNE1,TSNE2
"araujo monsalvo, .",0,1,1,0,1,1,UCOL-0092,2018,7,5,False,False,0.0,3.0,-20.125557,-35.559063
"arellano, aidee",1,1,1,0,1,1,UCOL-0098,2016,9,5,False,False,0.0,3.0,-5.619524,-37.50459
"augusto, hernandez rivera juan",0,1,1,0,1,1,UCOL-0113,2021,4,0,False,False,0.0,3.0,-23.457945,-13.509356
"avalos chavez, marco",16,1,1,0,1,1,UCOL-0115,2018,7,5,False,False,0.0,3.0,-18.200209,-35.844128
"avalos chavez, omar david",0,1,1,0,1,1,UCOL-0116,2024,1,0,False,False,0.0,3.0,-65.99646,3.4884906
"avedian gonzalez, giovanna",3,1,1,0,1,1,UCOL-0118,2018,7,5,False,False,0.0,3.0,-19.36876,-36.322395
"avendano jimenez, yareth",11,1,1,0,1,1,UCOL-0119,2017,8,5,False,False,0.0,3.0,-8.601658,-43.636024
"avendano soto, mauricio",1,1,1,0,1,1,UCOL-0121,2022,3,0,False,False,0.0,3.0,-40.26332,-0.7506898
"avitia, cesar augusto garcia",0,1,1,0,1,1,UCOL-0123,2021,4,0,False,False,0.0,3.0,-22.579075,-13.269309
"ayala valdovinos, miguel",5,2,2,0,2,2,UCOL-0125,2020,5,5,False,False,0.0,3.0,-32.128674,-19.991371
"ayard martinez, maria del carmen",0,1,1,0,1,1,UCOL-0127,2024,1,0,False,False,0.0,3.0,-65.99646,3.4884906
"badillo zapata, daniel",7,2,2,0,2,2,UCOL-0130,2018,7,5,False,False,0.0,3.0,-18.781862,-32.71568
"ballesteros torres, juan",0,1,1,0,1,1,UCOL-0133,2023,2,0,False,False,0.0,3.0,-61.087368,-24.015556
"banda, hector manuel alvarado",1,1,1,0,1,1,UCOL-0137,2016,9,5,False,False,0.0,3.0,-5.619524,-37.50459
"baquedano lopez, patricia",5,1,1,0,1,1,UCOL-0140,2020,5,5,False,False,0.0,3.0,-34.377052,-20.764734
"barragan sanchez, paulina",0,1,1,0,1,1,UCOL-0156,2024,1,0,False,False,0.0,3.0,-67.01575,4.2326703
"barriguete melendez, armando",2,1,1,0,1,1,UCOL-0160,2021,4,0,False,False,0.0,3.0,-22.013277,-14.985493
"barriocanal, elena garcia",0,1,1,0,1,1,UCOL-0163,2024,1,0,False,False,0.0,3.0,-67.29566,2.6847181
"bautista gonzalez, joel",0,1,1,0,1,1,UCOL-0168,2023,2,0,False,False,0.0,3.0,-60.74158,-23.16249
"bautista sandoval, maria",1,1,1,0,1,1,UCOL-0172,2018,7,5,False,False,0.0,3.0,-19.817152,-35.59719
"beasguzman, oscar",12,1,1,0,1,1,UCOL-0176,2022,3,0,False,False,0.0,3.0,-42.754032,-3.1469014
"bejarano zamora, yair josue",1,1,1,0,1,1,UCOL-0178,2023,2,0,False,False,0.0,3.0,-57.023087,-25.568083
"beltran, jacqueline zamora",0,1,1,0,1,1,UCOL-0180,2020,5,5,False,False,0.0,3.0,-34.72452,-19.861685
"bibiano lopez, alba nalletzin",0,1,1,0,1,1,UCOL-0192,2024,1,0,False,False,0.0,3.0,-65.99646,3.4884906
"bonilla cruz, nidia",1,1,1,0,1,1,UCOL-0202,2018,7,5,False,False,0.0,3.0,-19.82487,-34.781887
"brambila pelayo, manuel",0,1,1,0,1,1,UCOL-0210,2024,1,0,False,False,0.0,3.0,-67.97524,3.7684355
"cadena estrada, anaid",4,1,1,0,1,1,UCOL-0230,2019,6,5,False,False,0.0,3.0,-29.502815,-29.772953
"canan, silvia regina",2,1,1,0,1,1,UCOL-0241,2022,3,0,False,False,0.0,3.0,-40.66521,-1.5141927
"cardenas magana, jorge alberto",0,1,1,0,1,1,UCOL-0249,2024,1,0,False,False,0.0,3.0,-65.99646,3.4884906
"cardenas, omar medina",3,3,2,0,3,2,UCOL-0254,2019,6,5,False,False,0.0,3.0,-25.726364,-28.350279
"cardenasaguilar, citlaly",12,1,1,0,1,1,UCOL-0256,2022,3,0,False,False,0.0,3.0,-42.754032,-3.1469014
"casandra, arambula zuniga citlalli",20,1,1,0,1,1,UCOL-0267,2019,6,5,False,False,0.0,3.0,-29.032541,-28.256212
"castaneda bustos, vielka",0,1,1,0,1,1,UCOL-0271,2023,2,0,False,False,0.0,3.0,-60.74158,-23.16249
"castillo zamora, paola",10,4,3,0,4,3,UCOL-0279,2021,4,0,False,False,0.0,3.0,-26.909647,-18.773228
"castillo, juan jose contreras",10,1,1,0,1,1,UCOL-0281,2017,8,5,False,False,0.0,3.0,-8.672052,-44.313873
"castillo, paola estefania",2,1,1,0,1,1,UCOL-0282,2023,2,0,False,False,0.0,3.0,-54.722057,-25.112566
"cayetano ramirez, felipe",1,1,1,0,1,1,UCOL-0290,2021,4,0,False,False,0.0,3.0,-21.956413,-14.015183
"ceballos gutierrez, adriana",3,1,1,0,1,1,UCOL-0292,2021,4,0,False,False,0.0,3.0,-22.549067,-15.729538
"cedeno laurent, guillermo",15,1,1,0,1,1,UCOL-0294,2020,5,5,False,False,0.0,3.0,-33.696926,-21.32784
"cedeno valdivia, pedro",21,1,1,0,1,1,UCOL-0295,2020,5,5,False,False,0.0,3.0,-33.26947,-21.451572
"celis crisostomo, marco antonio",0,1,1,0,1,1,UCOL-0298,2024,1,0,False,False,0.0,3.0,-67.97524,3.7684355
"cervantes, alejandro",4,1,1,0,1,1,UCOL-0310,2016,9,5,False,False,0.0,3.0,-5.2110524,-37.49415
"cervantes, maria guadalupe sanchez",6,1,1,0,1,1,UCOL-0311,2020,5,5,False,False,0.0,3.0,-33.677677,-20.363192
"cesar, garcia casillas arturo",0,1,1,0,1,1,UCOL-0314,2021,4,0,False,False,0.0,3.0,-23.457945,-13.509356
"cesari, daniel",0,1,1,0,1,1,UCOL-0315,2020,5,5,False,False,0.0,3.0,-34.72452,-19.861685
"chavez bracamontes, ramon",0,1,1,0,1,1,UCOL-0318,2024,1,0,False,False,0.0,3.0,-67.29566,2.6847181
"chavez gudino, mariana",2,1,1,0,1,1,UCOL-0323,2023,2,0,False,False,0.0,3.0,-54.722057,-25.112566
"chavianoconesa, daniel",12,1,1,0,1,1,UCOL-0330,2022,3,0,False,False,0.0,3.0,-43.126495,-2.155467
"chiapas, jose maria de la roca",16,1,1,0,1,1,UCOL-0334,2019,6,5,False,False,0.0,3.0,-29.582462,-28.7589
"cinotti, alessia",146,2,2,0,2,2,UCOL-0338,2020,5,5,True,False,0.0,3.0,-30.09856,-23.43913
"ciria margarita salazar,",3,1,1,0,1,1,UCOL-0339,2017,8,5,False,False,0.0,3.0,-9.40388,-45.30409
"ciria margarita, salazar",6,2,1,0,2,1,UCOL-0340,2021,4,0,False,False,0.0,3.0,-25.068327,-16.750517
"clouder, lynn",146,2,2,0,2,2,UCOL-0345,2020,5,5,True,False,0.0,3.0,-30.09856,-23.43913
"collazo preciado, getsemany",0,1,1,0,1,1,UCOL-0351,2023,2,0,False,False,0.0,3.0,-60.74158,-23.16249
"concha sanchez, antonio",2,1,1,0,1,1,UCOL-0353,2023,2,0,False,False,0.0,3.0,-54.722057,-25.112566
"cortes alvarez, salma",4,1,1,0,1,1,UCOL-0370,2024,1,0,False,False,0.0,3.0,-67.182526,-0.19526392
"cortes, alejandro",0,1,1,0,1,1,UCOL-0376,2020,5,5,False,False,0.0,3.0,-34.72452,-19.861685
"cortez, fernando abel marin",4,1,1,0,1,1,UCOL-0379,2019,6,5,False,False,0.0,3.0,-29.503456,-29.774189
"cruz crespo, elia",22,4,4,0,4,4,UCOL-0389,2020,5,5,False,False,0.0,3.0,-27.543903,-19.599916
"cruz sanchez, saulo",0,1,1,0,1,1,UCOL-0393,2023,2,0,False,False,0.0,3.0,-60.74158,-23.16249
"cruz, karla",7,1,1,0,1,1,UCOL-0397,2017,8,5,False,False,0.0,3.0,-9.316641,-44.25942
"cuevas romo, julio",0,1,1,0,1,1,UCOL-0403,2025,0,0,False,False,0.0,3.0,-71.31623,2.9159524
"cuevas, flavio aragon",21,1,1,0,1,1,UCOL-0405,2016,9,5,False,False,0.0,3.0,-4.863274,-36.54015
"cuevasvelazquez, andrea",12,1,1,0,1,1,UCOL-0406,2022,3,0,False,False,0.0,3.0,-43.126495,-2.155467
"datta, jayanta",1,1,1,0,1,1,UCOL-0412,2024,1,0,False,False,0.0,3.0,-68.39314,0.5214244
"de dios sanchez lopez, juan",10,1,1,0,1,1,UCOL-0420,2017,8,5,False,False,0.0,3.0,-8.416461,-45.043846
"del rio zaragoza, oscar basilio",7,4,2,0,4,2,UCOL-0439,2018,7,5,False,False,0.0,3.0,-18.125864,-30.57105
"delgado rosales, edith estefany",6,1,1,0,1,1,UCOL-0451,2018,7,5,False,False,0.0,3.0,-19.062786,-35.092796
"delgado, gioconda edith medrano",1,1,1,0,1,1,UCOL-0453,2023,2,0,False,False,0.0,3.0,-57.946953,-25.948366
"delgadoenciso, josuel",12,1,1,0,1,1,UCOL-0454,2022,3,0,False,False,0.0,3.0,-43.126495,-2.155467
"delgadoenciso, osiris",12,1,1,0,1,1,UCOL-0455,2022,3,0,False,False,0.0,3.0,-43.126495,-2.155467
"di clemente, natalia",2,1,1,0,1,1,UCOL-0456,2017,8,5,False,False,0.0,3.0,-10.078271,-44.164333
"diaz lopez, hector ochoa",10,1,1,0,1,1,UCOL-0460,2017,8,5,False,False,0.0,3.0,-8.416461,-45.043846
"diaz, yunuem",2,1,1,0,1,1,UCOL-0467,2023,2,0,False,False,0.0,3.0,-54.722057,-25.112566
"dominguez hernandez, .",0,1,1,0,1,1,UCOL-0470,2018,7,5,False,False,0.0,3.0,-20.272535,-34.710342
"dumonteil, eric",10,1,1,0,1,1,UCOL-0481,2017,8,5,False,False,0.0,3.0,-8.416461,-45.043846
"elorza rodriguez,",2,1,1,0,1,1,UCOL-0496,2017,8,5,False,False,0.0,3.0,-10.014297,-44.46789
"espiritu mojarro, ana",12,1,1,0,1,1,UCOL-0520,2019,6,5,False,False,0.0,3.0,-28.818684,-28.890862
"evangelista salazar, juan jose",2,1,1,0,1,1,UCOL-0529,2019,6,5,False,False,0.0,3.0,-28.39562,-29.794811
"ferreyra, maria virginia",146,2,2,0,2,2,UCOL-0538,2020,5,5,True,False,0.0,3.0,-30.09856,-23.43913
"figueroa gutierrez, alejandro",3,1,1,0,1,1,UCOL-0541,2021,4,0,False,False,0.0,3.0,-22.549067,-15.729538
"flores silva, alejandra",0,1,1,0,1,1,UCOL-0559,2025,0,0,False,False,0.0,3.0,-71.31623,2.9159524
"flores, secundino isabeles",1,1,1,0,1,1,UCOL-0563,2022,3,0,False,False,0.0,3.0,-39.80324,-1.7301624
"folch gabayet,",1,1,1,0,1,1,UCOL-0565,2019,6,5,False,False,0.0,3.0,-28.404953,-30.168535
"freire, jose manuel gonzalez",0,2,2,0,2,2,UCOL-0573,2023,2,0,False,False,0.0,3.0,-57.388638,-21.627117
"fuentes guardiola, lucia",0,1,1,0,1,1,UCOL-0577,2023,2,0,False,False,0.0,3.0,-60.74158,-23.16249
"gabriela, heredia",20,1,1,0,1,1,UCOL-0582,2019,6,5,False,False,0.0,3.0,-29.032541,-28.256212
"galindo villardon, ma. purificacion",1,1,1,0,1,1,UCOL-0589,2019,6,5,False,False,0.0,3.0,-28.649534,-30.257936
"galvansalazar, hector",12,1,1,0,1,1,UCOL-0595,2022,3,0,False,False,0.0,3.0,-42.678898,-2.7058885
"garcia avitia, cesar augusto",1,1,1,0,1,1,UCOL-0599,2021,4,0,False,False,0.0,3.0,-21.956413,-14.015183
"garcia casillas, cesar",1,1,1,0,1,1,UCOL-0604,2021,4,0,False,False,0.0,3.0,-22.658722,-14.194439
"garcia contreras, jessica jocelin",0,1,1,0,1,1,UCOL-0605,2022,3,0,False,False,0.0,3.0,-39.235317,-1.0123804
"garcia lopez, nallely",2,2,2,0,2,2,UCOL-0615,2019,6,5,False,False,0.0,3.0,-26.91158,-28.883556
"garcia nevares, arturo",2,1,1,0,1,1,UCOL-0620,2023,2,0,False,False,0.0,3.0,-54.722057,-25.112566
"garcia ordaz, hugo alberto",0,1,1,0,1,1,UCOL-0621,2021,4,0,False,False,0.0,3.0,-23.802383,-14.087402
"garcia perez, miguel",1,1,1,0,1,1,UCOL-0624,2021,4,0,False,False,0.0,3.0,-22.652822,-14.182996
"garcia rodriguez, jeniffer",0,1,1,0,1,1,UCOL-0629,2018,7,5,False,False,0.0,3.0,-20.510698,-36.1209
"garcia vazquez, fernanda inez",1,1,1,0,1,1,UCOL-0632,2023,2,0,False,False,0.0,3.0,-57.946953,-25.948366
"garciagarcia, hossana",12,1,1,0,1,1,UCOL-0642,2022,3,0,False,False,0.0,3.0,-43.755493,-2.6463344
"garduno, alicia saldivar",11,1,1,0,1,1,UCOL-0646,2023,2,0,False,False,0.0,3.0,-54.45935,-23.91807
"gillberg, jussi",21,1,1,0,1,1,UCOL-0663,2018,7,5,False,False,0.0,3.0,-17.814213,-35.570946
"gomez figueroa, julio alejandro",1,1,1,0,1,1,UCOL-0668,2023,2,0,False,False,0.0,3.0,-57.81401,-24.76834
"gomez rodriguez, jose ricardo",0,1,1,0,1,1,UCOL-0674,2024,1,0,False,False,0.0,3.0,-67.29566,2.6847181
"gomez, eduardo gomez",6,2,1,0,2,1,UCOL-0677,2021,4,0,False,False,0.0,3.0,-25.068327,-16.750517
"gomez, ruben godinez",1,1,1,0,1,1,UCOL-0679,2021,4,0,False,False,0.0,3.0,-21.956413,-14.015183
"gonzales potes, apolinar",0,1,1,0,1,1,UCOL-0680,2020,5,5,False,False,0.0,3.0,-34.72452,-19.861685
"gonzalez lopez, juan",0,1,1,0,1,1,UCOL-0694,2024,1,0,False,False,0.0,3.0,-65.99646,3.4884906
"gonzalez lopez, mario",0,1,1,0,1,1,UCOL-0695,2023,2,0,False,False,0.0,3.0,-60.74158,-23.16249
"gonzalez mercado, anahi",5,1,1,0,1,1,UCOL-0696,2020,5,5,False,False,0.0,3.0,-34.377052,-20.764734
"gonzalez roldan, jesus",2,1,1,0,1,1,UCOL-0705,2021,4,0,False,False,0.0,3.0,-22.013277,-14.985493
"gonzalez trevizo, .",9,2,2,0,2,2,UCOL-0707,2018,7,5,False,False,0.0,3.0,-18.699661,-32.72759
"gonzalez, aime tapia",10,1,1,0,1,1,UCOL-0714,2018,7,5,False,False,0.0,3.0,-18.70041,-35.74702
"gonzalez, claudia . marquez",1,1,1,0,1,1,UCOL-0716,2023,2,0,False,False,0.0,3.0,-57.023087,-25.568083
"gonzalez, georgina aime tapia",0,1,1,0,1,1,UCOL-0717,2018,7,5,False,False,0.0,3.0,-20.510698,-36.1209
"gonzalez, marco  perez",1,1,1,0,1,1,UCOL-0719,2022,3,0,False,False,0.0,3.0,-40.26332,-0.7506898
"gordillo sobrino, gerardo victor",0,1,1,0,1,1,UCOL-0722,2024,1,0,False,False,0.0,3.0,-65.99646,3.4884906
"granados alejo, vignaud",3,1,1,0,1,1,UCOL-0724,2019,6,5,False,False,0.0,3.0,-28.60189,-29.56395
"grosso, susana",1,1,1,0,1,1,UCOL-0725,2023,2,0,False,False,0.0,3.0,-57.023087,-25.568083
"guadalupe, miranda ojeda marianne",0,1,1,0,1,1,UCOL-0726,2021,4,0,False,False,0.0,3.0,-23.802181,-14.087196
"guillermo espinosa, elvin",2,1,1,0,1,1,UCOL-0741,2021,4,0,False,False,0.0,3.0,-22.013277,-14.985493
"guillermo sandoval, eduardo",1,1,1,0,1,1,UCOL-0742,2021,4,0,False,False,0.0,3.0,-21.956413,-14.015183
"gutierrez campos, jose manuel",1,1,1,0,1,1,UCOL-0743,2024,1,0,False,False,0.0,3.0,-68.39357,0.5213724
"guzman davalos, laura",1,2,1,0,2,1,UCOL-0754,2018,7,5,False,False,0.0,3.0,-19.04737,-32.695892
"guzman, victor javier ochoa",6,1,1,0,1,1,UCOL-0766,2020,5,5,False,False,0.0,3.0,-33.677677,-20.363192
"guzmanesquivel, jose",12,1,1,0,1,1,UCOL-0767,2022,3,0,False,False,0.0,3.0,-43.755493,-2.6463344
"guzmansolorzano, hannah",12,1,1,0,1,1,UCOL-0768,2022,3,0,False,False,0.0,3.0,-43.126495,-2.155467
"guzmansolorzano, jose",12,1,1,0,1,1,UCOL-0769,2022,3,0,False,False,0.0,3.0,-43.755493,-2.6463344
"haubi segura, carlos",9,4,3,0,4,3,UCOL-0776,2021,4,0,False,False,0.0,3.0,-26.908562,-18.772007
"haubi, carlos",2,2,2,0,2,2,UCOL-0777,2021,4,0,False,False,0.0,3.0,-25.116623,-16.609009
"hector, rodriguez lozoya",0,1,1,0,1,1,UCOL-0778,2024,1,0,False,False,0.0,3.0,-67.29566,2.6847181
"hernandez gonzalez, emmanuel",0,1,1,0,1,1,UCOL-0784,2024,1,0,False,False,0.0,3.0,-67.29566,2.6847181
"hernandez gonzalez, sergio",1,1,1,0,1,1,UCOL-0785,2019,6,5,False,False,0.0,3.0,-28.649534,-30.257936
"hernandez lopez, francisco miguel",0,1,1,0,1,1,UCOL-0788,2024,1,0,False,False,0.0,3.0,-67.29566,2.6847181
"hernandez murua, jose aldo",1,1,1,0,1,1,UCOL-0791,2022,3,0,False,False,0.0,3.0,-39.80324,-1.7301624
"hernandez rodriguez, monica",7,3,2,0,3,2,UCOL-0798,2018,7,5,False,False,0.0,3.0,-18.361298,-31.267197
"hernandez torres, eduardo",1,1,1,0,1,1,UCOL-0800,2016,9,5,False,False,0.0,3.0,-5.619524,-37.50459
"hernandez, esteban",0,1,1,0,1,1,UCOL-0807,2019,6,5,False,False,0.0,3.0,-29.152208,-30.36047
"herrera franco, .",0,1,1,0,1,1,UCOL-0812,2018,7,5,False,False,0.0,3.0,-20.159264,-35.556854
"herrera, alejandra",0,1,1,0,1,1,UCOL-0814,2021,4,0,False,False,0.0,3.0,-22.579075,-13.269309
"herrera, ana maria trejos",12,1,1,0,1,1,UCOL-0815,2017,8,5,False,False,0.0,3.0,-8.023123,-44.511696
"huerta faustino, adriana vanessa",0,1,1,0,1,1,UCOL-0822,2024,1,0,False,False,0.0,3.0,-67.29566,2.6847181
"ibarra cortes, bertha",5,1,1,0,1,1,UCOL-0832,2020,5,5,False,False,0.0,3.0,-34.377052,-20.764734
"ibarra, isabel",6,2,2,0,2,2,UCOL-0837,2023,2,0,False,False,0.0,3.0,-57.261997,-21.627146
"ilizaliturri hernandez, cesar arturo",4,1,1,0,1,1,UCOL-0845,2018,7,5,False,False,0.0,3.0,-19.304745,-35.817947
"isabel, carrillo diaz maria",0,1,1,0,1,1,UCOL-0850,2021,4,0,False,False,0.0,3.0,-23.53342,-13.796346
"jacobo gomez chavez, lino francisco",0,1,1,0,1,1,UCOL-0859,2025,0,0,False,False,0.0,3.0,-71.31623,2.9159524
"jaimes yanez, nereo",0,1,1,0,1,1,UCOL-0861,2023,2,0,False,False,0.0,3.0,-60.74158,-23.16249
"jalomo cuevas, jaime",0,1,1,0,1,1,UCOL-0862,2024,1,0,False,False,0.0,3.0,-65.99646,3.4884906
"jeanett escobedo sarti,",1,1,1,0,1,1,UCOL-0866,2021,4,0,False,False,0.0,3.0,-23.14979,-14.703337
"jimenez foglia, raquel",0,1,1,0,1,1,UCOL-0870,2018,7,5,False,False,0.0,3.0,-20.016798,-36.22433
"jimenez, ana",0,1,1,0,1,1,UCOL-0878,2021,4,0,False,False,0.0,3.0,-23.04432,-13.314746
"juarez gonzalez, maria",6,1,1,0,1,1,UCOL-0885,2018,7,5,False,False,0.0,3.0,-19.062786,-35.092796
"juarez hernandez, luis",4,2,2,0,2,2,UCOL-0887,2021,4,0,False,False,0.0,3.0,-25.085876,-16.690573
"junco, jenny",1,1,1,0,1,1,UCOL-0893,2023,2,0,False,False,0.0,3.0,-57.023087,-25.568083
"karakus, mehmet",146,2,2,0,2,2,UCOL-0896,2020,5,5,True,False,0.0,3.0,-30.09856,-23.43913
"kuri morales, pablo",2,1,1,0,1,1,UCOL-0905,2021,4,0,False,False,0.0,3.0,-22.013277,-14.985493
"lara, ali",12,1,1,0,1,1,UCOL-0910,2019,6,5,False,False,0.0,3.0,-28.827278,-28.89236
"ledesma, jaime",6,1,1,0,1,1,UCOL-0918,2019,6,5,False,False,0.0,3.0,-29.165232,-29.436129
"leonel, avendano reyes",0,1,1,0,1,1,UCOL-0923,2021,4,0,False,False,0.0,3.0,-23.04432,-13.314746
"llamas zamorano, sergio",3,1,1,0,1,1,UCOL-0942,2019,6,5,False,False,0.0,3.0,-28.60189,-29.56395
"lopez baca, angeles",0,1,1,0,1,1,UCOL-0947,2023,2,0,False,False,0.0,3.0,-60.74158,-23.16249
"lopez barbosa, rutilio rodolfo",0,1,1,0,1,1,UCOL-0948,2024,1,0,False,False,0.0,3.0,-65.99646,3.4884906
"lopez gutierrez, carlos javier",3,1,1,0,1,1,UCOL-0951,2017,8,5,False,False,0.0,3.0,-9.40388,-45.30409
"lopez haro, jorge",0,1,1,0,1,1,UCOL-0952,2025,0,0,False,False,0.0,3.0,-71.31623,2.9159524
"lopez montesinos, osval",21,1,1,0,1,1,UCOL-0958,2016,9,5,False,False,0.0,3.0,-4.863003,-36.54037
"lopez rincon, gonzalo",0,1,1,0,1,1,UCOL-0965,2023,2,0,False,False,0.0,3.0,-61.087368,-24.015556
"lopez rodriguez, alejandro",0,1,1,0,1,1,UCOL-0966,2023,2,0,False,False,0.0,3.0,-61.087368,-24.015556
"lopez rodriguez, luis",0,1,1,0,1,1,UCOL-0967,2023,2,0,False,False,0.0,3.0,-60.74158,-23.16249
"lopez, fuensanta",1,1,1,0,1,1,UCOL-0976,2023,2,0,False,False,0.0,3.0,-57.023087,-25.568083
"lopez, guillermo sanchez",0,1,1,0,1,1,UCOL-0977,2018,7,5,False,False,0.0,3.0,-19.93804,-36.393734
"loya, rocio abril morales",0,1,1,0,1,1,UCOL-0983,2024,1,0,False,False,0.0,3.0,-67.29566,2.6847181
"lozano kasten, felipe",2,1,1,0,1,1,UCOL-0984,2021,4,0,False,False,0.0,3.0,-22.013277,-14.985493
"lozano salmoran, edgar fidel",0,1,1,0,1,1,UCOL-0985,2024,1,0,False,False,0.0,3.0,-65.99646,3.4884906
"luna espinoza, ignacio",21,1,1,0,1,1,UCOL-0993,2016,9,5,False,False,0.0,3.0,-4.8151264,-36.585308
"luna sanchez, sandra elizabeth",1,1,1,0,1,1,UCOL-0996,2023,2,0,False,False,0.0,3.0,-57.81401,-24.76834
"magana torres, maria teresa",5,1,1,0,1,1,UCOL-1016,2020,5,5,False,False,0.0,3.0,-34.377052,-20.764734
"manjarrez bastidas, itzel adilene",1,1,1,0,1,1,UCOL-1024,2022,3,0,False,False,0.0,3.0,-39.80324,-1.7301624
"manzo lozano, emilio gerzain",3,1,1,0,1,1,UCOL-1028,2017,8,5,False,False,0.0,3.0,-9.40388,-45.30409
"manzo, libertad perez",3,2,2,0,2,2,UCOL-1030,2022,3,0,False,False,0.0,3.0,-40.342686,-4.717587
"marentes patron, ricardo antonio",0,1,1,0,1,1,UCOL-1034,2024,1,0,False,False,0.0,3.0,-66.31746,1.8359408
"marias, nathalli salas",11,1,1,0,1,1,UCOL-1035,2020,5,5,False,False,0.0,3.0,-33.563137,-20.859121
"marquez cabellos, norma guadalupe",0,2,2,0,2,2,UCOL-1040,2022,3,0,False,False,0.0,3.0,-40.26428,-4.6869307
"marquez, bogart yail",4,2,2,0,2,2,UCOL-1045,2020,5,5,False,False,0.0,3.0,-32.14048,-19.947626
"martinez escamilla, nereida",3,1,1,0,1,1,UCOL-1055,2020,5,5,False,False,0.0,3.0,-33.830437,-19.811197
"martinez orozco, reinaldo",0,1,1,0,1,1,UCOL-1065,2018,7,5,False,False,0.0,3.0,-20.521906,-34.946266
"martinez sanchez, .",1,1,1,0,1,1,UCOL-1070,2017,8,5,False,False,0.0,3.0,-10.360184,-44.72415
"martinez santillan, karmina",0,1,1,0,1,1,UCOL-1073,2025,0,0,False,False,0.0,3.0,-71.31623,2.9159524
"martinez, ignacio gonzalez",3,1,1,0,1,1,UCOL-1081,2016,9,5,False,False,0.0,3.0,-5.6806297,-37.170597
"martinez, nina margarita hernandez",1,1,1,0,1,1,UCOL-1083,2023,2,0,False,False,0.0,3.0,-56.854908,-24.499142
"martinezfierro, margarita",12,1,1,0,1,1,UCOL-1085,2022,3,0,False,False,0.0,3.0,-43.382553,-3.1904938
"medina mendoza, eudes jairo",3,1,1,0,1,1,UCOL-1093,2017,8,5,False,False,0.0,3.0,-9.40388,-45.30409
"medina valencia, rossana tamara",0,1,1,0,1,1,UCOL-1094,2025,0,0,False,False,0.0,3.0,-71.31623,2.9159524
"mejia saavedra, jesus",4,1,1,0,1,1,UCOL-1097,2018,7,5,False,False,0.0,3.0,-19.304745,-35.817947
