Normalized_Author_Name,Cited_by,Publications,Journals,Funded_publications,Not_funded_publications,Publisher_Count,Folio,First_Year,Seniority,Seniority_Group,Cited_Above_Q3,Publications_Above_Q3,Funding_Ratio,Cluster,TSNE1,TSNE2
"abarca vargas,",8,2,2,0,2,2,UCOL-0001,2019,6,5,False,False,0.0,3.0,-27.02857,-28.617035
"afrange, emilia",1,1,1,0,1,1,UCOL-0008,2023,2,0,False,False,0.0,3.0,-57.023087,-25.568083
"aguilar sollano,",46,2,2,0,2,2,UCOL-0015,2020,5,5,False,False,0.0,3.0,-31.42144,-21.737406
"aguilar, eric morales",1,1,1,0,1,1,UCOL-0019,2022,3,0,False,False,0.0,3.0,-40.26332,-0.7506898
"aguilar, jose",7,1,1,0,1,1,UCOL-0020,2017,8,5,False,False,0.0,3.0,-9.248287,-44.45041
"aguilar, luis  contreras",1,1,1,0,1,1,UCOL-0021,2022,3,0,False,False,0.0,3.0,-40.26332,-0.7506898
"ahumada lopez, luz angelica",2,1,1,0,1,1,UCOL-0026,2019,6,5,False,False,0.0,3.0,-28.419182,-29.790071
"al obaidi, karam",30,2,2,0,2,2,UCOL-0029,2020,5,5,False,False,0.0,3.0,-31.630848,-21.34473
"alanis, arnulfo",4,2,2,0,2,2,UCOL-0031,2020,5,5,False,False,0.0,3.0,-32.14048,-19.947626
"alarcon vasquez, yolima",19,2,2,0,2,2,UCOL-0032,2017,8,5,False,False,0.0,3.0,-10.025235,-41.822292
"alberto, ruiz ramirez johnatan",0,1,1,0,1,1,UCOL-0035,2021,4,0,False,False,0.0,3.0,-22.274073,-13.242491
"alcaraz, fatimalopez",27,2,2,0,2,2,UCOL-0041,2022,3,0,False,False,0.0,3.0,-41.420864,-4.8576107
"aldaba santana, paola daiana",1,1,1,0,1,1,UCOL-0044,2023,2,0,False,False,0.0,3.0,-57.023087,-25.568083
"alvarado segura, arturo",1,1,1,0,1,1,UCOL-0050,2021,4,0,False,False,0.0,3.0,-23.14979,-14.703337
"alvarez valadez, maria del rosario",3,2,2,0,2,2,UCOL-0058,2021,4,0,False,False,0.0,3.0,-25.100883,-16.6527
"alvarez, jose manuel flores",3,1,1,0,1,1,UCOL-0063,2016,9,5,False,False,0.0,3.0,-5.6806297,-37.170597
"alvarez, salma cortes",3,2,2,0,2,2,UCOL-0065,2022,3,0,False,False,0.0,3.0,-40.342686,-4.717587
"andrade gonzalez, isaac",0,1,1,0,1,1,UCOL-0070,2024,1,0,False,False,0.0,3.0,-67.29566,2.6847181
"andrade sanchez, adriana isabel",6,4,4,0,4,4,UCOL-0071,2019,6,5,False,False,0.0,3.0,-24.925695,-28.11984
"anguiano, daniela muniz",19,1,1,0,1,1,UCOL-0079,2016,9,5,False,False,0.0,3.0,-4.9780235,-36.604572
"arandia, jorge lozoya",4,1,1,0,1,1,UCOL-0091,2024,1,0,False,False,0.0,3.0,-67.18252,-0.19526398
