Normalized_Author_Name,Cited_by,Publications,Journals,Funded_publications,Not_funded_publications,Publisher_Count,Folio,First_Year,Seniority,Seniority_Group,Cited_Above_Q3,Publications_Above_Q3,Funding_Ratio,Cluster,TSNE1,TSNE2
"garcia, sara aliria jimenez",13,3,3,0,3,2,UCOL-0641,2011,14,10,False,False,0.0,2.0,19.754665,-36.564842
"garduno monroy, victor hugo",135,3,3,1,2,3,UCOL-0645,1998,27,25,True,False,0.3333333333333333,2.0,26.545038,-8.04451
"gavilanes ruiz, juan carlos",493,13,7,7,6,9,UCOL-0653,1998,27,25,True,True,0.5384615384615384,2.0,31.826231,-4.267084
"gavino rodriguez, .",171,14,10,1,13,7,UCOL-0655,2004,21,20,True,True,0.07142857142857142,2.0,27.307636,-2.4221737
"gomez ibarra, ernesto",15,1,1,0,1,1,UCOL-0670,2013,12,10,False,False,0.0,2.0,6.1265697,-38.778072
"gomez leyva, aurora",3,1,1,0,1,1,UCOL-0671,2009,16,15,False,False,0.0,2.0,32.976135,-35.70084
"gonzalez alvarez, rafael",55,10,4,3,7,5,UCOL-0682,2012,13,10,False,True,0.3,2.0,9.068362,-8.227112
"gonzalez amezcua,",149,6,3,6,0,3,UCOL-0683,2002,23,20,True,True,1.0,2.0,17.369452,1.958987
"gonzalez castaneda, rocio",286,12,11,5,7,10,UCOL-0686,2010,15,15,True,True,0.4166666666666667,2.0,21.111757,6.306113
"gonzalez gutierrez,",0,1,1,0,1,1,UCOL-0692,2012,13,10,False,False,0.0,2.0,13.931848,-41.1135
"gonzalez hernandez, nelida",6,1,1,0,1,1,UCOL-0693,2008,17,15,False,False,0.0,2.0,40.515255,-27.319246
"gonzalez potes,",169,20,17,7,13,11; 1,UCOL-0701,2007,18,15,True,True,0.35,2.0,28.42951,2.0520642
"gonzalez reyes, ezequiel",24,1,1,0,1,1,UCOL-0702,2006,19,15,False,False,0.0,2.0,37.76342,-17.811272
"gonzalez trujano, ma. eva",188,10,9,4,6,6,UCOL-0708,2004,21,20,True,True,0.4,2.0,21.318325,-1.2548145
"gonzalez,",43,15,13,2,13,7; 1,UCOL-0710,2006,19,15,False,True,0.13333333333333333,2.0,27.354115,-1.4760495
"gonzalez, . barragan",0,1,1,0,1,1,UCOL-0712,2005,20,20,False,False,0.0,2.0,36.54872,-15.49223
"gonzalez, ..",1,1,1,0,1,1,UCOL-0713,2009,16,15,False,False,0.0,2.0,33.15026,-36.180805
"gonzalez, antonio larios",4,1,1,0,1,1,UCOL-0715,2009,16,15,False,False,0.0,2.0,33.709,-35.796894
"gonzalez, miguel",89,4,4,1,3,2,UCOL-0720,2008,17,15,True,False,0.25,2.0,17.275272,-8.83125
"gudino lau, jorge",40,9,7,1,8,7,UCOL-0728,2007,18,15,False,True,0.1111111111111111,2.0,19.484224,-11.637472
"guerrero alvarez, jorge",0,1,1,0,1,1,UCOL-0730,2008,17,15,False,False,0.0,2.0,41.4177,-27.915098
"guerrero ibanez,",97,6,5,2,4,5,UCOL-0733,2010,15,15,True,True,0.3333333333333333,2.0,11.039811,-9.506398
"guerrero, gerardo",0,1,1,0,1,1,UCOL-0735,2014,11,10,False,False,0.0,2.0,2.1208823,-36.838367
"guevara,",87,3,3,2,1,3,UCOL-0736,2003,22,20,True,False,0.6666666666666666,2.0,16.074373,0.038448237
"gutierrez corona, claudia",28,1,1,0,1,1,UCOL-0744,2006,19,15,False,False,0.0,2.0,37.879322,-17.881592
"gutierrez diaz, miguel angel",11,1,1,0,1,1,UCOL-0745,2007,18,15,False,False,0.0,2.0,38.450863,-21.374792
"gutierrez smith, yunuen",7,1,1,0,1,1,UCOL-0748,2011,14,10,False,False,0.0,2.0,20.843283,-40.015293
"guzman gonzalez, salvador",51,7,7,2,5,5,UCOL-0756,1999,26,25,False,True,0.2857142857142857,2.0,25.96977,-8.019773
"guzman muniz, jorge",121,15,14,5,10,12,UCOL-0757,2008,17,15,True,True,0.3333333333333333,2.0,24.894485,-1.3969324
"guzman tiburcio, claudia rubi",0,1,1,0,1,1,UCOL-0762,2008,17,15,False,False,0.0,2.0,41.45259,-26.927013
"guzman, francisco antar martinez",1,1,1,0,1,1,UCOL-0765,2015,10,10,False,False,0.0,2.0,-1.9898338,-35.21555
"guzzi, marco",9,1,1,0,1,1,UCOL-0771,2005,20,20,False,False,0.0,2.0,36.357533,-16.012484
"gwynne, gemma",37,1,1,0,1,1,UCOL-0772,2009,16,15,False,False,0.0,2.0,33.97493,-33.2786
"hernandez diaz, julio",38,3,3,0,3,3,UCOL-0781,2005,20,20,False,False,0.0,2.0,34.15501,-16.31715
"hernandez escalante, victor",0,2,1,0,2,1,UCOL-0782,2013,12,10,False,False,0.0,2.0,7.5572286,-38.262356
"hernandez joffre,",8,1,1,0,1,1,UCOL-0786,2013,12,10,False,False,0.0,2.0,6.6621103,-39.153034
"hernandez ortega, simon",1,2,2,0,2,2,UCOL-0795,2011,14,10,False,False,0.0,2.0,19.667093,-38.475643
"hernandez sanchez, jaime",350,24,9,8,16,10,UCOL-0799,2002,23,20,True,True,0.3333333333333333,2.0,28.621317,3.9917223
"hernandez,",43,3,3,2,1,2,UCOL-0802,2001,24,20,False,False,0.6666666666666666,2.0,16.508762,0.05975098
"herrera corredor, alejandra",7,1,1,0,1,1,UCOL-0811,2013,12,10,False,False,0.0,2.0,6.0487857,-39.753643
"herrera,",84,4,4,0,4,3,UCOL-0813,2006,19,15,True,False,0.0,2.0,32.866005,-18.165167
"higareda almaraz, .",43,7,5,0,7,5,UCOL-0816,2013,12,10,False,True,0.0,2.0,3.8271768,-30.94142
"hofmann, christoph",307,16,9,2,14,3,UCOL-0820,2005,20,20,True,True,0.125,2.0,27.413874,1.3818413
"hummel,",52,7,4,0,7,3,UCOL-0826,1995,30,30,False,True,0.0,2.0,28.827494,-9.016537
"hummel, janet",0,1,1,0,1,1,UCOL-0827,2010,15,15,False,False,0.0,2.0,27.501184,-40.0448
"hung, .",9,1,1,0,1,1,UCOL-0828,2008,17,15,False,False,0.0,2.0,40.407154,-27.954475
"hunt, thomas",38,2,2,0,2,2,UCOL-0829,2011,14,10,False,False,0.0,2.0,21.199463,-37.567673
"ibarra galvan,",470,13,9,6,7,7,UCOL-0833,2009,16,15,True,True,0.46153846153846156,2.0,23.96356,7.862274
"ibrahim, amin",3,1,1,0,1,1,UCOL-0839,2009,16,15,False,False,0.0,2.0,32.976135,-35.70084
"iguchi, masato",2,1,1,0,1,1,UCOL-0842,2013,12,10,False,False,0.0,2.0,7.0013075,-39.81259
"ihl, matthias",29,2,2,0,2,1,UCOL-0843,2008,17,15,False,False,0.0,2.0,37.893005,-27.139729
"ikten, cengiz",35,1,1,0,1,1,UCOL-0844,2011,14,10,False,False,0.0,2.0,21.783241,-38.467674
"isais millan, sara",49,6,4,0,6,3,UCOL-0851,2006,19,15,False,True,0.0,2.0,31.529825,-18.38287
"isela lopez poblete, nora",2,1,1,0,1,1,UCOL-0852,2011,14,10,False,False,0.0,2.0,20.123837,-39.97878
"jimenez herrera, carlos",1,2,1,0,2,1,UCOL-0871,2009,16,15,False,False,0.0,2.0,31.574377,-35.09004
"jimenez,",159,4,3,0,4,3,UCOL-0876,1995,30,30,True,False,0.0,2.0,28.763115,-8.949065
"jimenez, .",38,8,7,3,5,7,UCOL-0877,2005,20,20,False,True,0.375,2.0,18.877758,-4.8180165
"jimenez, samantha",67,16,12,3,13,9,UCOL-0880,2013,12,10,True,True,0.1875,2.0,13.917033,-15.484319
"jonguitud olguin, gregorio",49,1,1,0,1,1,UCOL-0882,2008,17,15,False,False,0.0,2.0,37.056355,-28.913263
"jrgensen, .",6,1,1,0,1,1,UCOL-0883,2012,13,10,False,False,0.0,2.0,12.794809,-41.42926
"juarez garcia,",29,2,2,0,2,2,UCOL-0884,2013,12,10,False,False,0.0,2.0,6.5947223,-37.13847
"juarez ruiz, ariadna",7,1,1,0,1,1,UCOL-0889,2014,11,10,False,False,0.0,2.0,2.2651095,-36.60127
"juarez, celso",10,2,2,0,2,2,UCOL-0891,2012,13,10,False,False,0.0,2.0,13.829037,-39.451664
"kapralos, bill",27,4,4,0,4,3,UCOL-0895,2007,18,15,False,False,0.0,2.0,34.677525,-21.48845
"karthik, ..",24,1,1,0,1,1,UCOL-0898,2014,11,10,False,False,0.0,2.0,2.739852,-36.205437
"lagunas, javier solori",1,1,1,0,1,1,UCOL-0906,2005,20,20,False,False,0.0,2.0,36.684696,-15.785843
"lara esqueda, agustin",162,16,14,2,14,10,UCOL-0909,2011,14,10,True,True,0.125,2.0,14.429708,-14.873464
