Normalized_Author_Name,Cited_by,Publications,Journals,Funded_publications,Not_funded_publications,Author(s)_ID,Authors,Author_full_names,Publisher_Count,First_Year,Seniority,Seniority_Group,Cited_Above_Q3,Publications_Above_Q3,Cluster,TSNE1,TSNE2,Funding_Ratio,Funded_ratio
"marquez, luis jorge garcia",162,34,23,10,24,56013595500,Márquez,"Márquez, Luis Jorge García",24,2009,16,15,True,True,4.0,32.136963,4.711296,0.29411764705882354,0.29411764705882354
"martinez martinez, francisco",424,53,28,26,27,55989750700,Martínez-Martínez,"Martínez-Martínez, Francisco J.",17,2005,20,20,True,True,4.0,34.40582,8.192222,0.49056603773584906,0.49056603773584906
"maycotte, paola",1700,2,2,2,0,23970996500,Maycotte,"Maycotte, Paola",2,2019,6,5,True,False,4.0,28.797476,14.056527,1.0,1.0
"melnikov, valery",379,49,37,25,24,15071852000,Melnikov,"Melnikov, Valery G.",28,2004,21,20,True,True,4.0,34.11262,8.00368,0.5102040816326531,0.5102040816326531
"mendoza munoz, nestor",969,32,26,19,13,37049115000,Mendoza-Muñoz,"Mendoza-Muñoz, Néstor",16,2017,8,5,True,True,4.0,28.519619,11.2332115,0.59375,0.59375
"molgado, alberto",162,34,15,17,17,22235024300,Molgado,"Molgado, Alberto",14,2007,18,15,True,True,4.0,31.09761,5.202344,0.5,0.5
"moreno galindo, eloy",397,34,20,24,10,25031743400,Moreno-Galindo,"Moreno-Galindo, Eloy G.",13,2010,15,15,True,True,4.0,30.486027,7.6082435,0.7058823529411765,0.7058823529411765
"muniz valencia, roberto",758,40,30,31,9,23052089400,Muñiz-Valencia,"Muñiz-Valencia, Roberto",22,2012,13,10,True,True,4.0,29.048994,10.253639,0.775,0.775
"olivos ortiz, aramis",447,44,30,24,20,15758282000,Olivos-Ortiz,"Olivos-Ortiz, Aramis",23,2006,19,15,True,True,4.0,33.642597,7.7709723,0.5454545454545454,0.5454545454545454
"ornelas paz, jose de jesus",981,33,20,20,13,56000916200,Ornelas-Paz,"Ornelas-Paz, José de Jesús",15,2010,15,15,True,True,4.0,28.945158,10.902568,0.6060606060606061,0.6060606060606061
"ortega ortiz, christian",250,37,21,26,11,55841950100,Ortega-Ortiz,"Ortega-Ortiz, Christian D.",23,2013,12,10,True,True,4.0,30.834787,7.0984783,0.7027027027027027,0.7027027027027027
"padilla martinez, itzia",267,34,17,12,22,6701627733,Padilla-Martínez,"Padilla-Martínez, Itzia I.",12,2005,20,20,True,True,4.0,31.50357,4.677185,0.35294117647058826,0.35294117647058826
"perez martinez, . david",789,24,15,14,10,36991113000,Pérez-Martínez,"Pérez-Martínez, J. David",8,2010,15,15,True,True,4.0,27.374125,10.343944,0.5833333333333334,0.5833333333333334
"pineda urbina,",225,26,22,23,3,55540985500,Pineda-Urbina,"Pineda-Urbina, K.",14,2013,12,10,True,True,4.0,17.850409,13.446809,0.8846153846153846,0.8846153846153846
"quintanar guerrero, david",499,16,15,6,10,6603782089,Quintanar-Guerrero,"Quintanar-Guerrero, David",11,2017,8,5,True,True,4.0,23.833824,10.420519,0.375,0.375
"reyes davila, .",865,29,12,20,9,6507068322,Reyes-Davila,"Reyes-Davila, G.A.",7,2001,24,20,True,True,4.0,30.097906,10.5422125,0.6896551724137931,0.6896551724137931
"rios silva,",357,53,33,15,38,6506543445,Rios-Silva,"Rios-Silva, M.",20,2002,23,20,True,True,4.0,34.50286,8.213006,0.2830188679245283,0.2830188679245283
"ruiz, ..",333,41,34,5,36,14015374300,Ruiz,"Ruiz, M.A.G.",17,2006,19,15,True,True,4.0,33.736988,6.303466,0.12195121951219512,0.12195121951219512
"sanchez ramirez, carmen",176,37,26,11,26,23991858700,Sánchez-Ramírez,"Sánchez-Ramírez, Carmen A.",18,2010,15,15,True,True,4.0,32.409817,5.047198,0.2972972972972973,0.2972972972972973
"santana, pedro",521,48,29,8,40,58039380400,Santana,"Santana, Pedro C.",16,2010,15,15,True,True,4.0,34.77507,7.2538414,0.16666666666666666,0.16666666666666666
"serrano posada, hugo",455,28,20,23,5,57203634874,Serrano-Posada,"Serrano-Posada, Hugo",13,2016,9,5,True,True,4.0,18.360203,13.847192,0.8214285714285714,0.8214285714285714
"singh, ravi",1683,16,8,13,3,7407264239,Singh,"Singh, Ravi",7,2017,8,5,True,True,4.0,29.027184,13.917215,0.8125,0.8125
"stuart, alexander",1047,30,7,26,4,26632484300,Stuart,"Stuart, Alexander J.",9,2017,8,5,True,True,4.0,28.52558,11.38403,0.8666666666666667,0.8666666666666667
"suchismita, mondal",634,10,6,7,3,23478121200,Suchismita,"Suchismita, Mondal",6,2017,8,5,True,True,4.0,23.942194,11.439499,0.7,0.7
"torres lopez, liliana",1912,10,9,10,0,57205463885,Torres-López,"Torres-López, Liliana",7,2019,6,5,True,True,4.0,28.94537,14.056166,1.0,1.0
"valdez, laura",437,43,29,21,22,57196550419,Valdez,"Valdez, Laura L.",22,2004,21,20,True,True,4.0,33.69059,7.7468643,0.4883720930232558,0.4883720930232558
"velarde buendia, ana maria",920,11,9,3,8,54418137100,Velarde-Buendía,"Velarde-Buendía, Ana María",7,2011,14,10,True,True,4.0,26.535578,12.747316,0.2727272727272727,0.2727272727272727
"zambrano zaragoza, maria",430,9,8,5,4,6506759491,Zambrano-Zaragoza,"Zambrano-Zaragoza, María L.",7,2018,7,5,True,True,4.0,14.072162,10.448859,0.5555555555555556,0.5555555555555556
"zeadally, sherali",1609,6,6,1,5,7003472739,Zeadally,"Zeadally, Sherali",5,2015,10,10,True,True,4.0,28.966324,13.740023,0.16666666666666666,0.16666666666666666
"zepeda jazo, isaac",913,9,6,3,6,23092599400,Zepeda-Jazo,"Zepeda-Jazo, Isaac",6,2007,18,15,True,True,4.0,26.411083,12.805443,0.3333333333333333,0.3333333333333333
